"Slice","Name","Invested value","Value","Result","Owned quantity","Dividends gained","Dividends cash","Dividends reinvested"
"COMM","CommScope",53.09,68.69,15.6,"5.74015039","N/A","N/A","N/A"
"AGX","Argan",58.58,64.87,6.29,"0.41574139","N/A","N/A","N/A"
"BKTI","BK Technologies",50.96,70.29,19.33,"1.38901647","N/A","N/A","N/A"
"CRDO","Credo Technology",45.68,88.69,43.01,"0.85620454","N/A","N/A","N/A"
"CLS","Celestica",46.1,88.46,42.36,"0.49272532","N/A","N/A","N/A"
"URBN","Urban Outfitters",55.35,54.51,-0.84,"1.04138322","N/A","N/A","N/A"
"LRN","Stride",51.74,55.48,3.74,"0.4676495","N/A","N/A","N/A"
"EAT","Brinker International",58.41,58.76,0.35,"0.50057433","N/A","N/A","N/A"
"GFI","Gold Fields",49.94,65.43,15.49,"2.57918018","N/A","N/A","N/A"
"BCS","Barclays",52.47,55.22,2.75,"3.76849467","N/A","N/A","N/A"
"PSIX","Power Solutions International",51.79,61.59,9.8,"0.95173848","N/A","N/A","N/A"
"PUK","Prudential",52.95,55.57,2.62,"2.84899729","N/A","N/A","N/A"
"DXPE","DXP Enterprises",49.55,61.86,12.31,"0.66910746","N/A","N/A","N/A"
"INTA","Intapp",60.92,59.92,-1,"1.82451895","N/A","N/A","N/A"
"NGD","New Gold",51.95,67.97,16.02,"14.55345609","N/A","N/A","N/A"
"PYPL","PayPal",49.39,47.35,-2.04,"0.93777974","N/A","N/A","N/A"
"Total","SA Top 10 2025",838.87,1024.66,185.79,"-","0.19","0","0.19"